creat:-0.45092,-0.0708,0.67382,1.21718,-1.15724,-0.39509,-0.50897,0.82528,1.53163,0.78678,
head:-0.3034,-0.36895,-0.48646,0.21749,-0.27706,-0.14385,-0.69826,-0.75673,0.26843,-0.18061,
or:0.13004,-1.02001,-0.49378,-0.37981,-1.28066,-1.24115,0.14079,0.61179,0.13112,-0.37421,
equival:-0.22655,0.62591,1.50413,-0.47581,0.31162,-1.32541,-0.71188,0.71624,-0.82261,0.7287,
offici:-0.58655,-0.2397,-0.32149,0.25556,-0.38865,-1.23977,-1.07833,0.36193,1.22111,0.23653,
at:-1.1937,-0.98963,-0.70308,-0.35579,-1.55882,-1.45988,-0.17818,-2.148,0.86462,0.54557,
level:-0.33385,0.59445,0.12294,0.67372,-0.2891,0.2239,0.46531,-0.43182,-0.4478,0.39764,
hong:-0.43258,1.57979,-6.54448,4.16499,-2.82632,0.45885,1.24259,0.16314,3.88486,-5.93844,
kong:-0.72418,-2.09587,7.5629,-3.69808,1.76625,-1.17115,-1.23106,-0.15435,-2.29765,6.62123,
among:-1.0789,-0.50161,-0.55255,0.2127,-0.93201,-1.35004,0.36505,-0.70336,1.00614,1.03169,
those:-0.58915,0.07829,0.62097,0.36707,-0.55964,-0.84064,-0.86682,-0.1208,0.01015,0.66454,
speak:-0.18808,-0.54272,-0.65115,-0.16308,-0.14942,-0.80302,-0.67081,0.27571,0.79081,0.70918,
today:-0.48684,-1.54717,-0.35393,0.59385,-0.25548,-0.14142,-0.55383,0.41634,1.1329,1.25319,
natur:-1.19442,0.3992,-0.51178,1.03546,-1.02758,-0.66153,-1.17397,-0.84961,0.26474,0.1948,
disast:-0.70875,0.28413,0.56413,0.02642,-0.88705,-0.13552,-0.22595,0.00893,-0.08678,-0.22874,
he:-0.34125,0.35705,0.28134,0.1965,-0.95287,-0.1013,-0.65302,-0.62249,1.01655,0.35894,
also:-0.7924,0.21685,0.32949,0.48724,0.09302,0.13936,0.14532,-0.5615,-0.23539,0.20297,
that:-1.77435,-0.08284,0.45932,-0.60537,-1.67877,-0.18801,-0.36287,0.00301,0.62267,-0.11795,
shaanxi:-0.19516,0.17953,-0.11263,0.42787,0.09888,-0.14047,-0.05458,1.05237,0.23116,0.68873,
util:-0.52022,0.62702,0.23368,0.03523,-0.73147,-0.25375,-0.82579,0.50107,0.7795,0.00457,
regard:-1.31347,-1.07714,0.59328,0.44159,-1.548,-0.7911,0.40374,-0.46313,1.11624,1.79362,
success:0.26297,-0.34445,-0.13552,0.71806,-1.07589,-1.43914,-1.47064,-0.37592,0.64715,0.17135,
carri:0.91835,2.11788,-3.2849,-0.2019,-0.70519,-1.11745,1.37798,2.65648,3.32865,-0.55393,
ideolog:-0.58042,-0.25991,-0.20487,-0.1734,-1.11014,-0.11888,-1.06226,-0.29777,0.73587,0.84496,
polit:-0.62987,0.52732,-1.00645,0.48107,-1.1796,-0.46484,-0.34717,-0.50241,1.37624,1.09113,
work:-1.00275,-0.33949,-0.57435,0.21362,0.7097,-1.12572,-1.10201,1.50547,0.55229,0.80435,
world:-0.22606,-1.1296,-1.00631,0.3803,-0.66356,-0.57053,0.97979,0.25768,1.04332,-0.05501,
taiwan:-0.79641,-0.10164,0.6761,0.40111,-0.94003,0.80145,-0.57794,-0.16984,1.17537,0.06655,
is:-0.14648,1.3429,-1.29731,-0.02543,-0.49001,-0.33456,0.20056,-0.73649,-0.56014,0.79763,
one:-0.13032,0.7857,0.0879,1.52113,-1.47801,-0.63404,0.91346,0.51869,-0.00413,-0.11625,
territori:-0.46592,-1.19046,-0.29596,0.32536,-0.87119,0.61573,-0.8014,-0.00979,3.10169,2.12657,
two:-0.93588,0.05205,-0.466,-0.1512,-0.36358,-0.03385,-0.88709,-0.69378,0.6167,0.81898,
side:-0.57938,-0.43812,-0.01291,0.85935,-0.99959,-1.22096,-0.50284,0.10931,0.67683,2.19207,
strait:-0.97944,2.4791,0.33628,-0.20945,-0.29663,-1.84381,-1.36713,-1.58833,1.42549,0.92072,
all:0.64573,-0.38965,0.33694,0.97428,-1.32292,-1.38501,-1.12011,0.71459,-0.57465,0.4273,
mani:0.68669,-0.74565,0.4287,1.05844,-0.45245,-0.00085,-0.86279,1.31286,-0.4574,0.05845,
heavi:-0.80154,0.04347,-0.18553,-0.08758,-0.79252,-0.5608,-0.60079,-0.01829,0.38675,0.42569,
task:-0.8102,-0.2003,-1.04213,-0.97881,-0.71116,-0.23925,-0.35654,0.46342,0.99279,0.19024,
parti:-1.16141,-0.94971,-0.41525,-0.69284,0.38011,-0.29455,-0.12872,-0.65832,1.16211,2.07641,
depart:-0.48126,-0.37269,-0.77374,-0.37871,1.31888,-0.11811,0.09534,0.64576,-0.13558,-0.30943,
would:-0.46913,0.98485,-0.08081,-0.22133,-0.83913,-0.73383,0.64713,-1.69474,0.05552,-1.06559,
pursu:-0.36452,-0.9567,0.06111,0.80621,-0.37019,-1.1815,-0.86032,-0.46899,1.17189,0.6069,
campaign:-0.90678,0.0033,-0.27686,-0.10393,-0.50255,-0.31462,-0.53606,0.31092,-0.09211,0.76746,
financ:-0.50483,-0.1134,-1.71325,-0.19311,-0.20453,-0.262,0.24563,0.524,0.02651,0.77414,
elimin:-0.28664,-0.07968,-0.52821,0.35218,0.09607,-0.95111,-1.0357,0.71588,0.02373,0.56972,
money:-0.93771,-0.71314,0.07854,1.49125,-1.02113,0.26237,-1.10652,-0.00564,0.21552,0.06869,
s:1.11893,0.8024,0.65956,0.74443,-1.4337,-0.98877,-0.12396,-0.90031,-1.66406,-0.04577,
countri:-1.46273,-0.2246,-0.63535,0.34189,0.60917,0.99718,0.11959,-0.1634,0.07998,1.31875,
no:-0.54996,0.0519,0.42423,0.0405,-1.48779,-0.53997,-1.21027,-0.61283,0.63379,-0.35396,
longer:-1.65515,-0.53204,0.9265,0.37083,-0.33646,-0.131,-0.50542,-0.49782,0.61895,0.29036,
about:-1.31817,-0.77004,0.17935,0.05761,-1.53618,-1.26798,-0.51338,-0.14576,-0.26853,0.89681,
